rowNumber,PersonId,State,Practice,PracticeName,LifeCycle,Loyal,Issue,Score,ScoreName,NPS-score,Channel,QuotePrice,QuoteType,RevPrice,RevObjects 
133,14,s5,4,BI,Evaluation,,,,,,,,,,
134,14,s4,4,BI,Evaluation,,,,,,,,,,
135,14,s4,4,BI,Evaluation,,,,,,,9081,Consultant,,
136,14,s6,4,BI,Purchase,,,,,,,,,,
137,14,s6,4,BI,Purchase,,,,,,,,,9081,1
138,14,s7,4,BI,Use,,,,,,,,,,
139,14,s9,4,BI,Use,,,,,,,,,,
140,14,s4,4,BI,Evaluation,Loyal,,10,CES,,,,,,
141,14,s4,4,BI,Evaluation,Loyal,,10,NPS,1,,,,,
142,14,s4,4,BI,Evaluation,Loyal,,,,,,50995,Consultant,,
143,14,s6,4,BI,Purchase,Loyal,,,,,,,,,
144,14,s6,4,BI,Purchase,Loyal,,,,,,,,50995,1
145,14,s7,4,BI,Use,Loyal,,,,,,,,,
146,14,s8,4,BI,Use,Loyal,Not Solved,,,,,,,,
147,14,s9,4,BI,Use,Loyal,Not Solved,7,CES,,,,,,
148,14,s9,4,BI,Use,Loyal,Not Solved,8,NPS,0,,,,,
149,14,s10,4,BI,End,Loyal,Not Solved,,,,,,,,
150,15,s1,,,Awareness,,,,,,,,,,
151,15,s2,4,BI,Awareness,,,,,,,,,,
152,15,s10,4,BI,End,,,,,,,,,,
153,16,s1,,,Awareness,,,,,,,,,,
154,16,s2,5,Siebel,Awareness,,,,,,,,,,
155,16,s3,5,Siebel,Awareness,,,,,,,,,,
156,16,s4,5,Siebel,Evaluation,,,,,,,,,,
157,16,s4,5,Siebel,Evaluation,,,,,,,12354,Consultant,,
158,16,s6,5,Siebel,Purchase,,,10,CES,,,,,,
159,16,s6,5,Siebel,Purchase,,,10,NPS,1,,,,,
160,16,s6,5,Siebel,Purchase,,,,,,,,,12354,1
161,16,s7,5,Siebel,Use,,,10,CES,,,,,,
162,16,s7,5,Siebel,Use,,,6,NPS,-1,,,,,
163,16,s9,5,Siebel,Use,,,7,CES,,,,,,
164,16,s9,5,Siebel,Use,,,10,NPS,1,,,,,
165,16,s4,5,Siebel,Evaluation,Loyal,,9,CES,,,,,,
166,16,s4,5,Siebel,Evaluation,Loyal,,9,NPS,1,,,,,
167,16,s4,5,Siebel,Evaluation,Loyal,,,,,,50121,Consultant,,
168,16,s6,5,Siebel,Purchase,Loyal,,10,CES,,,,,,
169,16,s6,5,Siebel,Purchase,Loyal,,10,NPS,1,,,,,
170,16,s6,5,Siebel,Purchase,Loyal,,,,,,,,50121,1
171,16,s7,5,Siebel,Use,Loyal,,,,,,,,,
172,16,s9,5,Siebel,Use,Loyal,,,,,,,,,
173,16,s4,5,Siebel,Evaluation,Loyal,,,,,,,,,
174,16,s4,5,Siebel,Evaluation,Loyal,,,,,,77068,Consultant,,
175,16,s6,5,Siebel,Purchase,Loyal,,,,,,,,,
176,16,s6,5,Siebel,Purchase,Loyal,,,,,,,,77068,1
177,16,s7,5,Siebel,Use,Loyal,,,,,,,,,
178,16,s9,5,Siebel,Use,Loyal,,,,,,,,,
179,16,s10,5,Siebel,End,Loyal,,,,,,,,,
180,17,s1,,,Awareness,,,,,,,,,,
181,17,s2,2,Service Cloud,Awareness,,,,,,,,,,
182,17,s10,2,Service Cloud,End,,,,,,,,,,
183,18,s1,,,Awareness,,,,,,,,,,
184,18,s2,0,Siebel,Awareness,,,,,,,,,,
185,18,s10,0,Siebel,End,,,,,,,,,,
186,19,s1,,,Awareness,,,,,,,,,,
187,19,s2,1,Sales Cloud,Awareness,,,,,,,,,,
188,19,s3,1,Sales Cloud,Awareness,,,,,,,,,,
189,19,s10,1,Sales Cloud,End,,,,,,,,,,
190,20,s1,,,Awareness,,,,,,,,,,
191,20,s2,5,Siebel,Awareness,,,,,,,,,,
192,20,s3,5,Siebel,Awareness,,,,,,,,,,
193,20,s5,5,Siebel,Evaluation,,,10,CES,,,,,,
194,20,s5,5,Siebel,Evaluation,,,10,NPS,1,,,,,
195,20,s4,5,Siebel,Evaluation,,,,,,,,,,
196,20,s4,5,Siebel,Evaluation,,,,,,,22030,Consultant,,
197,20,s4,5,Siebel,Evaluation,,,,,,,,,,
198,20,s4,5,Siebel,Evaluation,,,,,,,23152,Consultant,,
199,20,s10,5,Siebel,End,,,,,,,,,,
200,21,s1,,,Awareness,,,,,,,,,,
201,21,s2,3,Marketing Cloud,Awareness,,,10,CES,,,,,,
202,21,s3,3,Marketing Cloud,Awareness,,,,,,,,,,
203,21,s10,3,Marketing Cloud,End,,,,,,,,,,
204,22,s1,,,Awareness,,,,,,,,,,
205,22,s2,0,Siebel,Awareness,,,,,,,,,,
206,22,s3,0,Siebel,Awareness,,,,,,,,,,
207,22,s4,0,Siebel,Evaluation,,,9,CES,,,,,,
208,22,s4,0,Siebel,Evaluation,,,6,NPS,-1,,,,,
209,22,s4,0,Siebel,Evaluation,,,,,,,17280,Consultant,,
210,22,s10,0,Siebel,End,,,,,,,,,,
211,23,s1,,,Awareness,,,,,,,,,,
212,23,s2,2,Service Cloud,Awareness,,,,,,,,,,
213,23,s10,2,Service Cloud,End,,,,,,,,,,
214,24,s1,,,Awareness,,,,,,,,,,
215,24,s2,5,Siebel,Awareness,,,,,,,,,,
216,24,s3,5,Siebel,Awareness,,,,,,,,,,
217,24,s5,5,Siebel,Evaluation,,,,,,,,,,
218,24,s4,5,Siebel,Evaluation,,,,,,,,,,
219,24,s4,5,Siebel,Evaluation,,,,,,,73131,Consultant,,
220,24,s5,5,Siebel,Evaluation,,,,,,,,,,
221,24,s4,5,Siebel,Evaluation,,,,,,,,,,
222,24,s4,5,Siebel,Evaluation,,,,,,,83785,Consultant,,
223,24,s4,5,Siebel,Evaluation,,,,,,,,,,
224,24,s4,5,Siebel,Evaluation,,,,,,,81237,Consultant,,
225,24,s5,5,Siebel,Evaluation,,,10,CES,,,,,,
226,24,s5,5,Siebel,Evaluation,,,10,NPS,1,,,,,
227,24,s4,5,Siebel,Evaluation,,,,,,,,,,
228,24,s4,5,Siebel,Evaluation,,,,,,,72453,Consultant,,
229,24,s6,5,Siebel,Purchase,,,,,,,,,,
230,24,s6,5,Siebel,Purchase,,,,,,,,,72453,1
231,24,s7,5,Siebel,Use,,,,,,,,,,
232,24,s8,5,Siebel,Use,,Not Solved,10,CES,,,,,,
233,24,s8,5,Siebel,Use,,Not Solved,5,NPS,-1,,,,,
234,24,s9,5,Siebel,Use,,Not Solved,,,,,,,,
235,24,s10,5,Siebel,End,,Not Solved,,,,,,,,
236,25,s1,,,Awareness,,,,,,,,,,
237,25,s2,0,Siebel,Awareness,,,,,,,,,,
238,25,s3,0,Siebel,Awareness,,,,,,,,,,
239,25,s5,0,Siebel,Evaluation,,,,,,,,,,
240,25,s4,0,Siebel,Evaluation,,,,,,,,,,
241,25,s4,0,Siebel,Evaluation,,,,,,,15944,Consultant,,
242,25,s10,0,Siebel,End,,,,,,,,,,
243,26,s1,,,Awareness,,,,,,,,,,
244,26,s2,5,Siebel,Awareness,,,,,,,,,,
245,26,s3,5,Siebel,Awareness,,,,,,,,,,
246,26,s10,5,Siebel,End,,,,,,,,,,
247,27,s1,,,Awareness,,,,,,,,,,
248,27,s2,2,Service Cloud,Awareness,,,,,,,,,,
249,27,s10,2,Service Cloud,End,,,,,,,,,,
250,28,s1,,,Awareness,,,,,,,,,,
251,28,s2,5,Siebel,Awareness,,,,,,,,,,
252,28,s3,5,Siebel,Awareness,,,,,,,,,,
253,28,s5,5,Siebel,Evaluation,,,,,,,,,,
254,28,s4,5,Siebel,Evaluation,,,,,,,,,,
255,28,s4,5,Siebel,Evaluation,,,,,,,21759,Consultant,,
256,28,s4,5,Siebel,Evaluation,,,,,,,,,,
257,28,s4,5,Siebel,Evaluation,,,,,,,29572,Consultant,,
258,28,s5,5,Siebel,Evaluation,,,9,CES,,,,,,
259,28,s5,5,Siebel,Evaluation,,,6,NPS,-1,,,,,
260,28,s4,5,Siebel,Evaluation,,,,,,,,,,
261,28,s4,5,Siebel,Evaluation,,,,,,,26547,Consultant,,
262,28,s5,5,Siebel,Evaluation,,,10,CES,,,,,,
263,28,s5,5,Siebel,Evaluation,,,6,NPS,-1,,,,,
264,28,s4,5,Siebel,Evaluation,,,,,,,,,,
265,28,s4,5,Siebel,Evaluation,,,,,,,29651,Consultant,,
266,28,s5,5,Siebel,Evaluation,,,,,,,,,,
267,28,s4,5,Siebel,Evaluation,,,10,CES,,,,,,
268,28,s4,5,Siebel,Evaluation,,,10,NPS,1,,,,,
269,28,s4,5,Siebel,Evaluation,,,,,,,28796,Consultant,,
270,28,s6,5,Siebel,Purchase,,,10,CES,,,,,,
271,28,s6,5,Siebel,Purchase,,,5,NPS,-1,,,,,
272,28,s6,5,Siebel,Purchase,,,,,,,,,28796,1
273,28,s7,5,Siebel,Use,,,10,CES,,,,,,
274,28,s7,5,Siebel,Use,,,7,NPS,0,,,,,
275,28,s9,5,Siebel,Use,,,,,,,,,,
276,28,s10,5,Siebel,End,,,,,,,,,,
277,29,s1,,,Awareness,,,,,,,,,,
278,29,s2,5,Siebel,Awareness,,,,,,,,,,
279,29,s3,5,Siebel,Awareness,,,,,,,,,,
280,29,s5,5,Siebel,Evaluation,,,,,,,,,,
281,29,s4,5,Siebel,Evaluation,,,,,,,,,,
282,29,s4,5,Siebel,Evaluation,,,,,,,16271,Consultant,,
283,29,s5,5,Siebel,Evaluation,,,,,,,,,,
284,29,s4,5,Siebel,Evaluation,,,9,CES,,,,,,
285,29,s4,5,Siebel,Evaluation,,,10,NPS,1,,,,,
286,29,s4,5,Siebel,Evaluation,,,,,,,15687,Consultant,,
287,29,s4,5,Siebel,Evaluation,,,,,,,,,,
288,29,s4,5,Siebel,Evaluation,,,,,,,24226,Consultant,,
289,29,s5,5,Siebel,Evaluation,,,,,,,,,,
290,29,s4,5,Siebel,Evaluation,,,,,,,,,,
291,29,s4,5,Siebel,Evaluation,,,,,,,28416,Consultant,,
292,29,s10,5,Siebel,End,,,,,,,,,,
293,30,s1,,,Awareness,,,,,,,,,,
294,30,s2,3,Marketing Cloud,Awareness,,,,,,,,,,
295,30,s3,3,Marketing Cloud,Awareness,,,,,,,,,,
296,30,s5,3,Marketing Cloud,Evaluation,,,8,CES,,,,,,
297,30,s5,3,Marketing Cloud,Evaluation,,,3,NPS,-1,,,,,
298,30,s4,3,Marketing Cloud,Evaluation,,,3,CES,,,,,,
299,30,s4,3,Marketing Cloud,Evaluation,,,9,NPS,1,,,,,
300,30,s4,3,Marketing Cloud,Evaluation,,,,,,,11188,Consultant,,
301,30,s5,3,Marketing Cloud,Evaluation,,,,,,,,,,
302,30,s4,3,Marketing Cloud,Evaluation,,,2,CES,,,,,,
303,30,s4,3,Marketing Cloud,Evaluation,,,9,NPS,1,,,,,
304,30,s4,3,Marketing Cloud,Evaluation,,,,,,,42288,Consultant,,
305,30,s10,3,Marketing Cloud,End,,,,,,,,,,
306,31,s1,,,Awareness,,,,,,,,,,
307,31,s2,3,Marketing Cloud,Awareness,,,3,CES,,,,,,
308,31,s10,3,Marketing Cloud,End,,,,,,,,,,
309,32,s1,,,Awareness,,,,,,,,,,
310,32,s2,4,BI,Awareness,,,,,,,,,,
311,32,s3,4,BI,Awareness,,,,,,,,,,
312,32,s10,4,BI,End,,,,,,,,,,
313,33,s1,,,Awareness,,,,,,,,,,
314,33,s2,2,Service Cloud,Awareness,,,,,,,,,,
315,33,s10,2,Service Cloud,End,,,,,,,,,,
316,34,s1,,,Awareness,,,,,,,,,,
317,34,s2,4,BI,Awareness,,,,,,,,,,
318,34,s3,4,BI,Awareness,,,,,,,,,,
319,34,s10,4,BI,End,,,,,,,,,,
320,35,s1,,,Awareness,,,,,,,,,,
321,35,s10,,,End,,,,,,,,,,
322,36,s1,,,Awareness,,,,,,,,,,
323,36,s2,4,BI,Awareness,,,,,,,,,,
324,36,s3,4,BI,Awareness,,,,,,,,,,
325,36,s4,4,BI,Evaluation,,,10,CES,,,,,,
326,36,s4,4,BI,Evaluation,,,10,NPS,1,,,,,
327,36,s4,4,BI,Evaluation,,,,,,,9695,Consultant,,
328,36,s6,4,BI,Purchase,,,7,CES,,,,,,
329,36,s6,4,BI,Purchase,,,10,NPS,1,,,,,
330,36,s6,4,BI,Purchase,,,,,,,,,9695,1
331,36,s7,4,BI,Use,,,,,,,,,,
332,36,s9,4,BI,Use,,,6,CES,,,,,,
333,36,s9,4,BI,Use,,,7,NPS,0,,,,,
334,36,s10,4,BI,End,,,,,,,,,,
335,37,s1,,,Awareness,,,,,,,,,,
336,37,s2,1,Sales Cloud,Awareness,,,,,,,,,,
337,37,s10,1,Sales Cloud,End,,,,,,,,,,
338,38,s1,,,Awareness,,,,,,,,,,
339,38,s10,,,End,,,,,,,,,,
340,39,s1,,,Awareness,,,,,,,,,,
341,39,s2,5,Siebel,Awareness,,,,,,,,,,
342,39,s10,5,Siebel,End,,,,,,,,,,
343,40,s1,,,Awareness,,,,,,,,,,
344,40,s2,3,Marketing Cloud,Awareness,,,,,,,,,,
345,40,s10,3,Marketing Cloud,End,,,,,,,,,,
346,41,s1,,,Awareness,,,,,,,,,,
347,41,s10,,,End,,,,,,,,,,
348,42,s1,,,Awareness,,,,,,,,,,
349,42,s2,4,BI,Awareness,,,,,,,,,,
350,42,s3,4,BI,Awareness,,,,,,,,,,
351,42,s5,4,BI,Evaluation,,,10,CES,,,,,,
352,42,s5,4,BI,Evaluation,,,8,NPS,0,,,,,
353,42,s4,4,BI,Evaluation,,,,,,,,,,
354,42,s4,4,BI,Evaluation,,,,,,,15371,Consultant,,
355,42,s4,4,BI,Evaluation,,,,,,,,,,
356,42,s4,4,BI,Evaluation,,,,,,,22188,Consultant,,
357,42,s4,4,BI,Evaluation,,,,,,,,,,
358,42,s4,4,BI,Evaluation,,,,,,,29070,Consultant,,
359,42,s6,4,BI,Purchase,,,10,CES,,,,,,
360,42,s6,4,BI,Purchase,,,9,NPS,1,,,,,
361,42,s6,4,BI,Purchase,,,,,,,,,29070,1
362,42,s7,4,BI,Use,,,,,,,,,,
363,42,s9,4,BI,Use,,,,,,,,,,
364,42,s10,4,BI,End,,,,,,,,,,
365,43,s1,,,Awareness,,,,,,,,,,
366,43,s2,0,Siebel,Awareness,,,,,,,,,,
367,43,s3,0,Siebel,Awareness,,,,,,,,,,
368,43,s10,0,Siebel,End,,,,,,,,,,
369,44,s1,,,Awareness,,,,,,,,,,
370,44,s2,1,Sales Cloud,Awareness,,,,,,,,,,
371,44,s3,1,Sales Cloud,Awareness,,,,,,,,,,
372,44,s5,1,Sales Cloud,Evaluation,,,,,,,,,,
373,44,s4,1,Sales Cloud,Evaluation,,,,,,,,,,
374,44,s4,1,Sales Cloud,Evaluation,,,,,,,13671,Consultant,,
375,44,s5,1,Sales Cloud,Evaluation,,,,,,,,,,
376,44,s4,1,Sales Cloud,Evaluation,,,,,,,,,,
377,44,s4,1,Sales Cloud,Evaluation,,,,,,,9755,Consultant,,
378,44,s5,1,Sales Cloud,Evaluation,,,1,CES,,,,,,
379,44,s5,1,Sales Cloud,Evaluation,,,1,NPS,-1,,,,,
380,44,s4,1,Sales Cloud,Evaluation,,,,,,,,,,
381,44,s4,1,Sales Cloud,Evaluation,,,,,,,6957,Consultant,,
382,44,s4,1,Sales Cloud,Evaluation,,,,,,,,,,
383,44,s4,1,Sales Cloud,Evaluation,,,,,,,5445,Consultant,,
384,44,s10,1,Sales Cloud,End,,,,,,,,,,
385,45,s1,,,Awareness,,,,,,,,,,
386,45,s2,0,Siebel,Awareness,,,6,CES,,,,,,
387,45,s10,0,Siebel,End,,,,,,,,,,
388,46,s1,,,Awareness,,,,,,,,,,
389,46,s2,0,Siebel,Awareness,,,,,,,,,,
390,46,s3,0,Siebel,Awareness,,,,,,,,,,
391,46,s4,0,Siebel,Evaluation,,,6,CES,,,,,,
392,46,s4,0,Siebel,Evaluation,,,5,NPS,-1,,,,,
393,46,s4,0,Siebel,Evaluation,,,,,,,21988,Consultant,,
394,46,s5,0,Siebel,Evaluation,,,,,,,,,,
395,46,s4,0,Siebel,Evaluation,,,,,,,,,,
396,46,s4,0,Siebel,Evaluation,,,,,,,10250,Consultant,,
397,46,s5,0,Siebel,Evaluation,,,,,,,,,,
398,46,s4,0,Siebel,Evaluation,,,10,CES,,,,,,
399,46,s4,0,Siebel,Evaluation,,,10,NPS,1,,,,,
400,46,s4,0,Siebel,Evaluation,,,,,,,14633,Consultant,,
401,46,s5,0,Siebel,Evaluation,,,,,,,,,,
402,46,s4,0,Siebel,Evaluation,,,,,,,,,,
403,46,s4,0,Siebel,Evaluation,,,,,,,10738,Consultant,,
404,46,s5,0,Siebel,Evaluation,,,,,,,,,,
405,46,s4,0,Siebel,Evaluation,,,10,CES,,,,,,
406,46,s4,0,Siebel,Evaluation,,,5,NPS,-1,,,,,
407,46,s4,0,Siebel,Evaluation,,,,,,,24619,Consultant,,
408,46,s10,0,Siebel,End,,,,,,,,,,
409,47,s1,,,Awareness,,,,,,,,,,
410,47,s2,5,Siebel,Awareness,,,,,,,,,,
411,47,s3,5,Siebel,Awareness,,,,,,,,,,
412,47,s4,5,Siebel,Evaluation,,,,,,,,,,
413,47,s4,5,Siebel,Evaluation,,,,,,,13958,Consultant,,
414,47,s6,5,Siebel,Purchase,,,,,,,,,,
415,47,s6,5,Siebel,Purchase,,,,,,,,,13958,1
416,47,s7,5,Siebel,Use,,,10,CES,,,,,,
417,47,s7,5,Siebel,Use,,,10,NPS,1,,,,,
418,47,s9,5,Siebel,Use,,,,,,,,,,
419,47,s10,5,Siebel,End,,,,,,,,,,
420,48,s1,,,Awareness,,,,,,,,,,
421,48,s2,1,Sales Cloud,Awareness,,,,,,,,,,
422,48,s3,1,Sales Cloud,Awareness,,,,,,,,,,
423,48,s10,1,Sales Cloud,End,,,,,,,,,,
424,49,s1,,,Awareness,,,,,,,,,,
425,49,s2,3,Marketing Cloud,Awareness,,,,,,,,,,
426,49,s3,3,Marketing Cloud,Awareness,,,,,,,,,,
427,49,s5,3,Marketing Cloud,Evaluation,,,1,CES,,,,,,
428,49,s5,3,Marketing Cloud,Evaluation,,,4,NPS,-1,,,,,
429,49,s4,3,Marketing Cloud,Evaluation,,,,,,,,,,
430,49,s4,3,Marketing Cloud,Evaluation,,,,,,,60770,Consultant,,
431,49,s5,3,Marketing Cloud,Evaluation,,,6,CES,,,,,,
432,49,s5,3,Marketing Cloud,Evaluation,,,5,NPS,-1,,,,,
433,49,s4,3,Marketing Cloud,Evaluation,,,,,,,,,,
434,49,s4,3,Marketing Cloud,Evaluation,,,,,,,50220,Consultant,,
435,49,s10,3,Marketing Cloud,End,,,,,,,,,,
436,50,s1,,,Awareness,,,,,,,,,,
437,50,s2,0,Siebel,Awareness,,,,,,,,,,
438,50,s3,0,Siebel,Awareness,,,,,,,,,,
439,50,s5,0,Siebel,Evaluation,,,,,,,,,,
440,50,s4,0,Siebel,Evaluation,,,,,,,,,,
441,50,s4,0,Siebel,Evaluation,,,,,,,21960,Consultant,,
442,50,s6,0,Siebel,Purchase,,,,,,,,,,
443,50,s6,0,Siebel,Purchase,,,,,,,,,21960,1
444,50,s7,0,Siebel,Use,,,10,CES,,,,,,
445,50,s7,0,Siebel,Use,,,10,NPS,1,,,,,
446,50,s2,5,Siebel,Awareness,Loyal,,,,,,,,,
447,50,s3,5,Siebel,Awareness,Loyal,,,,,,,,,
448,50,s5,5,Siebel,Evaluation,Loyal,,10,CES,,,,,,
