rowNumber,PersonId,Price,PriceType, State 
69,140,253,ComputerQuote,s4
70,141,428,ComputerQuote,s4
71,141,575,ComputerQuote,s4
72,141,117,ComputerQuote,s4
73,148,217,ComputerQuote,s4
74,151,307,ComputerQuote,s4
75,156,499,ComputerQuote,s4
76,157,482,ComputerQuote,s4
77,160,505,ComputerQuote,s4
78,163,308,ComputerQuote,s4
79,165,271,ComputerQuote,s4
80,165,430,ComputerQuote,s4
81,174,436,ComputerQuote,s4
82,174,555,ComputerQuote,s4
83,174,590,ComputerQuote,s4
84,174,410,ComputerQuote,s4
85,175,129,ComputerQuote,s4
86,177,560,ComputerQuote,s4
87,177,355,ComputerQuote,s4
88,178,467,ComputerQuote,s4
89,178,545,ComputerQuote,s4
90,182,431,ComputerQuote,s4
91,185,263,ComputerQuote,s4
92,193,311,ComputerQuote,s4
93,194,259,ComputerQuote,s4
94,194,265,ComputerQuote,s4
95,199,484,ComputerQuote,s4
96,204,153,ComputerQuote,s4
97,208,460,ComputerQuote,s4
98,208,517,ComputerQuote,s4
99,209,288,ComputerQuote,s4
100,209,126,ComputerQuote,s4
101,212,167,ComputerQuote,s4
102,212,505,ComputerQuote,s4
103,218,105,ComputerQuote,s4
104,222,312,ComputerQuote,s4
105,222,139,ComputerQuote,s4
106,226,87,ComputerQuote,s4
107,226,80,ComputerQuote,s4
108,236,111,ComputerQuote,s4
109,236,534,ComputerQuote,s4
110,238,458,ComputerQuote,s4
111,238,153,ComputerQuote,s4
112,238,579,ComputerQuote,s4
113,249,328,ComputerQuote,s4
114,253,480,ComputerQuote,s4
115,253,585,ComputerQuote,s4
116,254,492,ComputerQuote,s4
117,254,576,ComputerQuote,s4
118,254,465,ComputerQuote,s4
119,257,248,ComputerQuote,s4
120,257,288,ComputerQuote,s4
121,261,403,ComputerQuote,s4
122,263,152,ComputerQuote,s4
123,268,187,ComputerQuote,s4
124,270,456,ComputerQuote,s4
125,278,124,ComputerQuote,s4
126,286,413,ComputerQuote,s4
127,289,103,ComputerQuote,s4
128,292,551,ComputerQuote,s4
129,292,537,ComputerQuote,s4
130,293,458,ComputerQuote,s4
131,296,598,ComputerQuote,s4
132,296,455,ComputerQuote,s4
133,296,450,ComputerQuote,s4
134,301,143,ComputerQuote,s4
135,306,510,ComputerQuote,s4
136,306,249,ComputerQuote,s4
137,306,502,ComputerQuote,s4
138,306,204,ComputerQuote,s4
139,306,308,ComputerQuote,s4
140,307,415,ComputerQuote,s4
141,308,324,ComputerQuote,s4
142,308,209,ComputerQuote,s4
143,308,94,ComputerQuote,s4
144,310,454,ComputerQuote,s4
145,311,231,ComputerQuote,s4
146,314,549,ComputerQuote,s4
147,314,143,ComputerQuote,s4
148,318,357,ComputerQuote,s4
149,322,168,ComputerQuote,s4
150,323,109,ComputerQuote,s4
151,327,598,ComputerQuote,s4
152,332,230,ComputerQuote,s4
153,332,224,ComputerQuote,s4
154,332,552,ComputerQuote,s4
155,351,352,ComputerQuote,s4
156,353,317,ComputerQuote,s4
157,353,327,ComputerQuote,s4
158,356,383,ComputerQuote,s4
159,356,140,ComputerQuote,s4
160,356,378,ComputerQuote,s4
161,356,505,ComputerQuote,s4
162,356,396,ComputerQuote,s4
163,357,149,ComputerQuote,s4
164,357,258,ComputerQuote,s4
165,366,537,ComputerQuote,s4
166,367,402,ComputerQuote,s4
167,369,254,ComputerQuote,s4
168,371,188,ComputerQuote,s4
169,371,255,ComputerQuote,s4
170,374,118,ComputerQuote,s4
171,381,106,ComputerQuote,s4
172,381,141,ComputerQuote,s4
173,381,517,ComputerQuote,s4
174,381,256,ComputerQuote,s4
175,383,288,ComputerQuote,s4
176,383,367,ComputerQuote,s4
177,385,167,ComputerQuote,s4
178,385,347,ComputerQuote,s4
179,386,300,ComputerQuote,s4
180,386,485,ComputerQuote,s4
181,386,462,ComputerQuote,s4
182,396,489,ComputerQuote,s4
183,397,434,ComputerQuote,s4
184,398,458,ComputerQuote,s4
185,399,548,ComputerQuote,s4
186,399,257,ComputerQuote,s4
187,401,291,ComputerQuote,s4
188,403,98,ComputerQuote,s4
189,404,350,ComputerQuote,s4
190,413,534,ComputerQuote,s4
191,415,86,ComputerQuote,s4
192,421,268,ComputerQuote,s4
193,424,160,ComputerQuote,s4
194,427,332,ComputerQuote,s4
195,429,245,ComputerQuote,s4
196,429,430,ComputerQuote,s4
197,431,147,ComputerQuote,s4
198,431,297,ComputerQuote,s4
199,431,146,ComputerQuote,s4
200,433,79,ComputerQuote,s4
201,435,82,ComputerQuote,s4
202,435,288,ComputerQuote,s4
203,436,108,ComputerQuote,s4
204,443,273,ComputerQuote,s4
205,443,527,ComputerQuote,s4
206,443,510,ComputerQuote,s4
207,447,544,ComputerQuote,s4
208,447,353,ComputerQuote,s4
209,452,109,ComputerQuote,s4
210,452,423,ComputerQuote,s4
211,454,161,ComputerQuote,s4
212,458,512,ComputerQuote,s4
213,458,284,ComputerQuote,s4
214,458,357,ComputerQuote,s4
215,459,101,ComputerQuote,s4
216,462,180,ComputerQuote,s4
217,462,499,ComputerQuote,s4
218,463,600,ComputerQuote,s4
219,466,174,ComputerQuote,s4
220,468,464,ComputerQuote,s4
221,469,98,ComputerQuote,s4
222,473,541,ComputerQuote,s4
223,476,564,ComputerQuote,s4
224,478,538,ComputerQuote,s4
225,490,175,ComputerQuote,s4
226,490,394,ComputerQuote,s4
227,490,511,ComputerQuote,s4
228,492,388,ComputerQuote,s4
229,493,108,ComputerQuote,s4
230,495,167,ComputerQuote,s4
231,495,395,ComputerQuote,s4
232,495,342,ComputerQuote,s4
233,495,552,ComputerQuote,s4
234,501,600,ComputerQuote,s4
235,501,484,ComputerQuote,s4
236,501,374,ComputerQuote,s4
237,502,333,ComputerQuote,s4
238,506,440,ComputerQuote,s4
239,512,464,ComputerQuote,s4
240,512,338,ComputerQuote,s4
241,523,356,ComputerQuote,s4
242,526,330,ComputerQuote,s4
243,526,411,ComputerQuote,s4
244,530,433,ComputerQuote,s4
245,531,543,ComputerQuote,s4
246,531,299,ComputerQuote,s4
247,536,325,ComputerQuote,s4
248,536,382,ComputerQuote,s4
249,538,391,ComputerQuote,s4
250,539,194,ComputerQuote,s4
251,542,274,ComputerQuote,s4
252,542,251,ComputerQuote,s4
253,543,241,ComputerQuote,s4
254,543,418,ComputerQuote,s4
255,550,441,ComputerQuote,s4
256,558,453,ComputerQuote,s4
257,563,465,ComputerQuote,s4
258,563,426,ComputerQuote,s4
259,565,477,ComputerQuote,s4
260,566,568,ComputerQuote,s4
261,568,389,ComputerQuote,s4
262,569,568,ComputerQuote,s4
263,585,559,ComputerQuote,s4
264,589,320,ComputerQuote,s4
265,589,465,ComputerQuote,s4
266,589,481,ComputerQuote,s4
267,589,135,ComputerQuote,s4
268,589,109,ComputerQuote,s4
269,592,293,ComputerQuote,s4
270,593,267,ComputerQuote,s4
271,598,260,ComputerQuote,s4
272,598,75,ComputerQuote,s4
273,598,170,ComputerQuote,s4
274,599,411,ComputerQuote,s4
275,610,244,ComputerQuote,s4
276,612,519,ComputerQuote,s4
277,614,242,ComputerQuote,s4
278,615,508,ComputerQuote,s4
279,615,460,ComputerQuote,s4
280,615,76,ComputerQuote,s4
281,615,512,ComputerQuote,s4
282,621,162,ComputerQuote,s4
283,621,558,ComputerQuote,s4
284,624,106,ComputerQuote,s4
285,625,250,ComputerQuote,s4
286,625,85,ComputerQuote,s4
287,628,372,ComputerQuote,s4
288,638,409,ComputerQuote,s4
289,638,439,ComputerQuote,s4
290,638,131,ComputerQuote,s4
291,638,524,ComputerQuote,s4
292,640,531,ComputerQuote,s4
293,641,235,ComputerQuote,s4
294,641,437,ComputerQuote,s4
295,641,233,ComputerQuote,s4
296,642,539,ComputerQuote,s4
297,651,102,ComputerQuote,s4
298,651,376,ComputerQuote,s4
299,653,595,ComputerQuote,s4
300,665,363,ComputerQuote,s4
301,666,336,ComputerQuote,s4
302,668,558,ComputerQuote,s4
303,669,159,ComputerQuote,s4
304,669,431,ComputerQuote,s4
305,674,583,ComputerQuote,s4
306,674,524,ComputerQuote,s4
307,678,591,ComputerQuote,s4
308,680,96,ComputerQuote,s4
309,680,346,ComputerQuote,s4
310,680,384,ComputerQuote,s4
311,688,592,ComputerQuote,s4
312,688,363,ComputerQuote,s4
313,688,385,ComputerQuote,s4
314,688,366,ComputerQuote,s4
315,689,541,ComputerQuote,s4
316,689,591,ComputerQuote,s4
317,689,197,ComputerQuote,s4
318,690,438,ComputerQuote,s4
319,690,542,ComputerQuote,s4
320,696,283,ComputerQuote,s4
321,701,169,ComputerQuote,s4
322,707,546,ComputerQuote,s4
323,708,171,ComputerQuote,s4
324,711,294,ComputerQuote,s4
325,711,537,ComputerQuote,s4
326,715,200,ComputerQuote,s4
327,715,455,ComputerQuote,s4
328,715,422,ComputerQuote,s4
329,715,125,ComputerQuote,s4
330,718,458,ComputerQuote,s4
331,721,450,ComputerQuote,s4
332,721,338,ComputerQuote,s4
333,723,407,ComputerQuote,s4
334,725,274,ComputerQuote,s4
335,729,215,ComputerQuote,s4
336,739,147,ComputerQuote,s4
337,739,387,ComputerQuote,s4
338,739,561,ComputerQuote,s4
339,739,501,ComputerQuote,s4
340,739,508,ComputerQuote,s4
341,748,370,ComputerQuote,s4
342,748,159,ComputerQuote,s4
343,748,106,ComputerQuote,s4
344,750,451,ComputerQuote,s4
345,750,321,ComputerQuote,s4
346,757,213,ComputerQuote,s4
347,759,493,ComputerQuote,s4
348,761,304,ComputerQuote,s4
349,761,525,ComputerQuote,s4
350,761,419,ComputerQuote,s4
351,761,475,ComputerQuote,s4
352,763,117,ComputerQuote,s4
353,763,87,ComputerQuote,s4
354,763,519,ComputerQuote,s4
355,765,373,ComputerQuote,s4
356,765,354,ComputerQuote,s4
357,765,251,ComputerQuote,s4
358,766,217,ComputerQuote,s4
359,766,151,ComputerQuote,s4
360,766,444,ComputerQuote,s4
361,771,314,ComputerQuote,s4
362,771,246,ComputerQuote,s4
363,772,130,ComputerQuote,s4
364,774,483,ComputerQuote,s4
365,774,590,ComputerQuote,s4
366,781,147,ComputerQuote,s4
367,781,248,ComputerQuote,s4
368,787,207,ComputerQuote,s4
369,793,94,ComputerQuote,s4
370,793,296,ComputerQuote,s4
371,796,305,ComputerQuote,s4
372,800,566,ComputerQuote,s4
373,800,75,ComputerQuote,s4
374,802,511,ComputerQuote,s4
375,804,444,ComputerQuote,s4
376,804,126,ComputerQuote,s4
377,804,264,ComputerQuote,s4
378,808,89,ComputerQuote,s4
379,810,359,ComputerQuote,s4
380,810,413,ComputerQuote,s4
381,813,275,ComputerQuote,s4
382,818,293,ComputerQuote,s4
383,818,387,ComputerQuote,s4
384,821,108,ComputerQuote,s4
385,821,202,ComputerQuote,s4
386,821,334,ComputerQuote,s4
387,830,179,ComputerQuote,s4
388,830,477,ComputerQuote,s4
389,838,109,ComputerQuote,s4
390,838,117,ComputerQuote,s4
391,846,558,ComputerQuote,s4
392,848,274,ComputerQuote,s4
393,851,140,ComputerQuote,s4
394,854,307,ComputerQuote,s4
395,857,508,ComputerQuote,s4
396,857,92,ComputerQuote,s4
397,857,108,ComputerQuote,s4
398,857,518,ComputerQuote,s4
399,858,226,ComputerQuote,s4
400,858,339,ComputerQuote,s4
401,858,208,ComputerQuote,s4
402,859,371,ComputerQuote,s4
403,860,463,ComputerQuote,s4
404,862,503,ComputerQuote,s4
405,864,263,ComputerQuote,s4
406,865,524,ComputerQuote,s4
407,867,183,ComputerQuote,s4
408,867,577,ComputerQuote,s4
409,870,114,ComputerQuote,s4
410,872,483,ComputerQuote,s4
411,872,106,ComputerQuote,s4
412,876,360,ComputerQuote,s4
413,878,432,ComputerQuote,s4
414,883,517,ComputerQuote,s4
415,883,78,ComputerQuote,s4
416,884,228,ComputerQuote,s4
417,884,417,ComputerQuote,s4
418,888,490,ComputerQuote,s4
419,895,103,ComputerQuote,s4
420,902,404,ComputerQuote,s4
421,905,213,ComputerQuote,s4
422,907,278,ComputerQuote,s4
423,910,380,ComputerQuote,s4
424,915,506,ComputerQuote,s4
425,919,540,ComputerQuote,s4
426,920,533,ComputerQuote,s4
427,920,515,ComputerQuote,s4
428,923,535,ComputerQuote,s4
429,923,101,ComputerQuote,s4
430,929,263,ComputerQuote,s4
431,929,247,ComputerQuote,s4
432,937,209,ComputerQuote,s4
433,937,600,ComputerQuote,s4
434,946,495,ComputerQuote,s4
435,946,153,ComputerQuote,s4
436,946,129,ComputerQuote,s4
437,948,538,ComputerQuote,s4
438,948,106,ComputerQuote,s4
439,950,540,ComputerQuote,s4
440,958,290,ComputerQuote,s4
441,960,279,ComputerQuote,s4
442,961,231,ComputerQuote,s4
443,962,304,ComputerQuote,s4
444,962,327,ComputerQuote,s4
445,963,594,ComputerQuote,s4
446,963,590,ComputerQuote,s4
447,963,325,ComputerQuote,s4
448,963,105,ComputerQuote,s4
449,963,331,ComputerQuote,s4
450,967,431,ComputerQuote,s4
451,969,442,ComputerQuote,s4
452,970,473,ComputerQuote,s4
453,972,492,ComputerQuote,s4
454,972,527,ComputerQuote,s4
455,972,515,ComputerQuote,s4
456,973,228,ComputerQuote,s4
457,974,510,ComputerQuote,s4
458,974,194,ComputerQuote,s4
459,974,497,ComputerQuote,s4
460,975,469,ComputerQuote,s4
461,975,382,ComputerQuote,s4
462,978,186,ComputerQuote,s4
463,978,204,ComputerQuote,s4
464,978,573,ComputerQuote,s4
465,978,225,ComputerQuote,s4
466,983,317,ComputerQuote,s4
467,983,587,ComputerQuote,s4
468,984,387,ComputerQuote,s4
469,987,280,ComputerQuote,s4
470,987,386,ComputerQuote,s4
471,994,383,ComputerQuote,s4
472,1003,296,ComputerQuote,s4
473,1004,595,ComputerQuote,s4
474,1005,409,ComputerQuote,s4
475,1005,362,ComputerQuote,s4
476,1007,247,ComputerQuote,s4
477,1009,248,ComputerQuote,s4
478,1013,298,ComputerQuote,s4
479,1013,221,ComputerQuote,s4
480,1015,132,ComputerQuote,s4
481,1015,206,ComputerQuote,s4
482,1015,403,ComputerQuote,s4
483,1019,416,ComputerQuote,s4
484,1019,436,ComputerQuote,s4
485,1020,138,ComputerQuote,s4
486,1020,541,ComputerQuote,s4
487,1020,232,ComputerQuote,s4
488,1026,294,ComputerQuote,s4
489,1027,246,ComputerQuote,s4
490,1030,398,ComputerQuote,s4
491,1030,361,ComputerQuote,s4
492,1034,529,ComputerQuote,s4
493,1034,128,ComputerQuote,s4
494,1034,381,ComputerQuote,s4
495,1034,541,ComputerQuote,s4
496,1036,335,ComputerQuote,s4
497,1036,112,ComputerQuote,s4
498,1036,197,ComputerQuote,s4
499,1037,406,ComputerQuote,s4
500,1043,584,ComputerQuote,s4
501,1043,96,ComputerQuote,s4
502,1045,174,ComputerQuote,s4
503,1052,87,ComputerQuote,s4
504,1058,305,ComputerQuote,s4
505,1058,531,ComputerQuote,s4
506,1061,496,ComputerQuote,s4
507,1065,79,ComputerQuote,s4
508,1079,441,ComputerQuote,s4
509,1081,399,ComputerQuote,s4
510,1087,585,ComputerQuote,s4
511,1087,401,ComputerQuote,s4
512,1089,523,ComputerQuote,s4
513,1098,399,ComputerQuote,s4
514,1101,157,ComputerQuote,s4
515,1101,91,ComputerQuote,s4
516,1104,246,ComputerQuote,s4
517,1104,198,ComputerQuote,s4
518,1104,373,ComputerQuote,s4
519,1105,441,ComputerQuote,s4
520,1105,434,ComputerQuote,s4
521,1108,114,ComputerQuote,s4
522,1114,476,ComputerQuote,s4
523,1116,77,ComputerQuote,s4
524,1120,187,ComputerQuote,s4
525,1120,559,ComputerQuote,s4
526,1128,519,ComputerQuote,s4
527,1134,482,ComputerQuote,s4
528,1134,336,ComputerQuote,s4
529,1143,112,ComputerQuote,s4
530,1146,598,ComputerQuote,s4
531,1147,109,ComputerQuote,s4
532,1151,198,ComputerQuote,s4
533,1156,469,ComputerQuote,s4
534,1160,120,ComputerQuote,s4
535,1160,181,ComputerQuote,s4
536,1160,173,ComputerQuote,s4
537,1164,539,ComputerQuote,s4
538,1164,483,ComputerQuote,s4
539,1172,211,ComputerQuote,s4
540,1172,93,ComputerQuote,s4
541,1177,139,ComputerQuote,s4
542,1184,151,ComputerQuote,s4
543,1184,148,ComputerQuote,s4
544,1184,212,ComputerQuote,s4
545,1189,211,ComputerQuote,s4
546,1190,545,ComputerQuote,s4
547,1191,160,ComputerQuote,s4
548,1191,280,ComputerQuote,s4
549,1191,329,ComputerQuote,s4
550,1192,360,ComputerQuote,s4
551,1193,337,ComputerQuote,s4
552,1195,301,ComputerQuote,s4
553,1197,361,ComputerQuote,s4
554,1198,248,ComputerQuote,s4
555,1199,242,ComputerQuote,s4
556,1200,548,ComputerQuote,s4
557,1209,388,ComputerQuote,s4
558,1209,111,ComputerQuote,s4
559,1212,168,ComputerQuote,s4
560,1213,296,ComputerQuote,s4
561,1215,570,ComputerQuote,s4
562,1215,282,ComputerQuote,s4
563,1215,306,ComputerQuote,s4
564,1223,333,ComputerQuote,s4
565,1223,83,ComputerQuote,s4
566,1223,511,ComputerQuote,s4
567,1223,210,ComputerQuote,s4
568,1234,417,ComputerQuote,s4
569,1238,114,ComputerQuote,s4
570,1238,586,ComputerQuote,s4
571,1238,119,ComputerQuote,s4
572,1238,475,ComputerQuote,s4
573,1241,555,ComputerQuote,s4
574,1246,167,ComputerQuote,s4
575,1246,483,ComputerQuote,s4
576,1248,336,ComputerQuote,s4
577,1248,310,ComputerQuote,s4
578,1248,288,ComputerQuote,s4
579,1248,89,ComputerQuote,s4
580,1249,582,ComputerQuote,s4
581,1249,311,ComputerQuote,s4
582,1254,187,ComputerQuote,s4
583,1254,594,ComputerQuote,s4
584,1254,211,ComputerQuote,s4
585,1256,286,ComputerQuote,s4
586,1257,79,ComputerQuote,s4
587,1257,331,ComputerQuote,s4
588,1259,534,ComputerQuote,s4
589,1260,120,ComputerQuote,s4
590,1260,181,ComputerQuote,s4
591,1267,265,ComputerQuote,s4
592,1267,575,ComputerQuote,s4
593,1267,159,ComputerQuote,s4
594,1274,160,ComputerQuote,s4
595,1275,411,ComputerQuote,s4
596,1277,135,ComputerQuote,s4
597,1279,466,ComputerQuote,s4
598,1284,186,ComputerQuote,s4
599,1286,268,ComputerQuote,s4
600,1286,526,ComputerQuote,s4
601,1294,289,ComputerQuote,s4
602,1295,516,ComputerQuote,s4
603,1298,101,ComputerQuote,s4
604,1298,241,ComputerQuote,s4
605,1298,292,ComputerQuote,s4
606,1308,484,ComputerQuote,s4
607,1310,335,ComputerQuote,s4
608,1312,136,ComputerQuote,s4
609,1312,387,ComputerQuote,s4
610,1316,574,ComputerQuote,s4
611,1321,356,ComputerQuote,s4
612,1328,292,ComputerQuote,s4
613,1331,253,ComputerQuote,s4
614,1331,501,ComputerQuote,s4
615,1331,248,ComputerQuote,s4
616,1334,564,ComputerQuote,s4
617,1334,84,ComputerQuote,s4
618,1339,428,ComputerQuote,s4
619,1340,492,ComputerQuote,s4
620,1348,489,ComputerQuote,s4
621,1352,238,ComputerQuote,s4
622,1359,169,ComputerQuote,s4
623,1363,297,ComputerQuote,s4
624,1380,301,ComputerQuote,s4
625,1380,341,ComputerQuote,s4
626,1380,290,ComputerQuote,s4
627,1386,308,ComputerQuote,s4
628,1386,251,ComputerQuote,s4
629,1386,323,ComputerQuote,s4
630,1398,375,ComputerQuote,s4
631,1399,89,ComputerQuote,s4
632,1399,428,ComputerQuote,s4
633,1401,513,ComputerQuote,s4
634,1401,465,ComputerQuote,s4
635,1401,207,ComputerQuote,s4
636,1402,364,ComputerQuote,s4
637,1404,213,ComputerQuote,s4
638,1404,296,ComputerQuote,s4
639,1404,281,ComputerQuote,s4
640,1405,92,ComputerQuote,s4
641,1405,566,ComputerQuote,s4
642,1412,412,ComputerQuote,s4
643,1419,560,ComputerQuote,s4
644,1419,291,ComputerQuote,s4
645,1419,377,ComputerQuote,s4
646,1424,207,ComputerQuote,s4
647,1426,275,ComputerQuote,s4
648,1432,122,ComputerQuote,s4
649,1435,337,ComputerQuote,s4
650,1435,358,ComputerQuote,s4
651,1437,495,ComputerQuote,s4
652,1439,442,ComputerQuote,s4
653,1442,496,ComputerQuote,s4
654,1446,103,ComputerQuote,s4
655,1462,221,ComputerQuote,s4
656,1467,154,ComputerQuote,s4
657,1469,583,ComputerQuote,s4
658,1469,236,ComputerQuote,s4
659,1469,555,ComputerQuote,s4
660,1469,458,ComputerQuote,s4
661,1469,88,ComputerQuote,s4
662,1482,357,ComputerQuote,s4
663,1485,564,ComputerQuote,s4
664,1486,419,ComputerQuote,s4
665,1489,578,ComputerQuote,s4
666,1494,138,ComputerQuote,s4
667,1494,525,ComputerQuote,s4
668,1494,288,ComputerQuote,s4
669,1497,109,ComputerQuote,s4
670,1500,412,ComputerQuote,s4
671,1500,414,ComputerQuote,s4
672,1500,205,ComputerQuote,s4
673,1501,430,ComputerQuote,s4
674,1501,105,ComputerQuote,s4
675,1502,242,ComputerQuote,s4
676,1505,188,ComputerQuote,s4
677,1510,592,ComputerQuote,s4
678,1511,375,ComputerQuote,s4
679,1517,174,ComputerQuote,s4
680,1517,526,ComputerQuote,s4
681,1519,442,ComputerQuote,s4
682,1519,470,ComputerQuote,s4
683,1526,290,ComputerQuote,s4
684,1526,545,ComputerQuote,s4
685,1526,194,ComputerQuote,s4
686,1526,574,ComputerQuote,s4
687,1526,526,ComputerQuote,s4
688,1526,505,ComputerQuote,s4
689,1528,569,ComputerQuote,s4
690,1529,158,ComputerQuote,s4
691,1531,300,ComputerQuote,s4
692,1532,164,ComputerQuote,s4
693,1532,506,ComputerQuote,s4
694,1540,374,ComputerQuote,s4
695,1545,353,ComputerQuote,s4
696,1545,104,ComputerQuote,s4
697,1545,305,ComputerQuote,s4
698,1548,452,ComputerQuote,s4
699,1549,239,ComputerQuote,s4
700,1561,564,ComputerQuote,s4
701,1561,234,ComputerQuote,s4
702,1563,271,ComputerQuote,s4
703,1565,520,ComputerQuote,s4
704,1566,90,ComputerQuote,s4
705,1567,497,ComputerQuote,s4
706,1567,108,ComputerQuote,s4
707,1572,496,ComputerQuote,s4
708,1573,343,ComputerQuote,s4
709,1573,391,ComputerQuote,s4
710,1573,153,ComputerQuote,s4
711,1573,211,ComputerQuote,s4
712,1573,259,ComputerQuote,s4
713,1573,373,ComputerQuote,s4
714,1573,86,ComputerQuote,s4
715,1576,118,ComputerQuote,s4
716,1579,221,ComputerQuote,s4
717,1588,155,ComputerQuote,s4
718,1588,367,ComputerQuote,s4
719,1595,260,ComputerQuote,s4
720,1611,425,ComputerQuote,s4
721,1611,248,ComputerQuote,s4
722,1611,233,ComputerQuote,s4
723,1619,507,ComputerQuote,s4
724,1621,381,ComputerQuote,s4
725,1621,263,ComputerQuote,s4
726,1623,315,ComputerQuote,s4
727,1624,172,ComputerQuote,s4
728,1626,184,ComputerQuote,s4
729,1626,448,ComputerQuote,s4
730,1627,190,ComputerQuote,s4
731,1627,219,ComputerQuote,s4
732,1635,110,ComputerQuote,s4
733,1638,575,ComputerQuote,s4
734,1640,360,ComputerQuote,s4
735,1643,524,ComputerQuote,s4
736,1643,431,ComputerQuote,s4
737,1651,233,ComputerQuote,s4
738,1655,589,ComputerQuote,s4
739,1655,553,ComputerQuote,s4
740,1660,480,ComputerQuote,s4
741,1666,213,ComputerQuote,s4
742,1666,531,ComputerQuote,s4
743,1668,560,ComputerQuote,s4
744,1668,227,ComputerQuote,s4
745,1668,179,ComputerQuote,s4
746,1668,316,ComputerQuote,s4
747,1669,585,ComputerQuote,s4
748,1670,446,ComputerQuote,s4
749,1675,505,ComputerQuote,s4
750,1676,190,ComputerQuote,s4
751,1680,104,ComputerQuote,s4
752,1681,408,ComputerQuote,s4
753,1681,365,ComputerQuote,s4
754,1681,350,ComputerQuote,s4
755,1681,392,ComputerQuote,s4
756,1689,339,ComputerQuote,s4
757,1692,395,ComputerQuote,s4
758,1707,133,ComputerQuote,s4
759,1710,332,ComputerQuote,s4
760,1719,481,ComputerQuote,s4
761,1727,466,ComputerQuote,s4
762,1727,374,ComputerQuote,s4
763,1727,499,ComputerQuote,s4
764,1727,555,ComputerQuote,s4
765,1727,472,ComputerQuote,s4
766,1729,384,ComputerQuote,s4
767,1729,418,ComputerQuote,s4
768,1731,564,ComputerQuote,s4
769,1732,184,ComputerQuote,s4
770,1737,434,ComputerQuote,s4
771,1738,273,ComputerQuote,s4
772,1741,261,ComputerQuote,s4
773,1744,511,ComputerQuote,s4
774,1744,532,ComputerQuote,s4
775,1749,552,ComputerQuote,s4
776,1756,171,ComputerQuote,s4
777,1756,491,ComputerQuote,s4
778,1756,572,ComputerQuote,s4
779,1763,319,ComputerQuote,s4
780,1763,238,ComputerQuote,s4
781,1768,308,ComputerQuote,s4
782,1772,398,ComputerQuote,s4
783,1772,145,ComputerQuote,s4
784,1772,431,ComputerQuote,s4
785,1772,220,ComputerQuote,s4
786,1773,272,ComputerQuote,s4
787,1773,116,ComputerQuote,s4
788,1773,253,ComputerQuote,s4
789,1774,221,ComputerQuote,s4
790,1774,417,ComputerQuote,s4
791,1774,288,ComputerQuote,s4
792,1776,389,ComputerQuote,s4
793,1782,176,ComputerQuote,s4
794,1782,457,ComputerQuote,s4
795,1784,541,ComputerQuote,s4
796,1788,589,ComputerQuote,s4
797,1791,336,ComputerQuote,s4
798,1792,451,ComputerQuote,s4
799,1792,344,ComputerQuote,s4
800,1792,571,ComputerQuote,s4
801,1792,223,ComputerQuote,s4
