rowNumber, PersonId, State, score, scoreName, Channel 
73,96,s5,2,CES,0
74,96,s5,5,NPS,3
75,97,s2,8,CES,1
76,97,s2,2,NPS,0
77,100,s5,3,CES,2
78,100,s5,10,NPS,2
79,100,s7,10,CES,0
80,100,s7,8,NPS,0
81,101,s2,9,CES,1
82,101,s2,1,NPS,3
83,102,s5,5,CES,3
84,102,s5,10,NPS,2
85,106,s7,10,CES,1
86,106,s7,10,NPS,3
87,107,s2,10,CES,1
88,107,s2,5,NPS,0
89,114,s7,4,CES,3
90,114,s7,8,NPS,2
91,115,s2,1,CES,2
92,115,s2,8,NPS,0
93,123,s5,7,CES,0
94,123,s5,10,NPS,3
95,123,s8,9,CES,1
96,123,s8,9,NPS,3
97,129,s3,10,CES,1
98,129,s3,10,NPS,1
99,131,s7,6,CES,1
100,131,s7,10,NPS,0
101,134,s8,2,CES,0
102,134,s8,9,NPS,1
103,135,s3,7,CES,2
104,135,s3,10,NPS,0
105,135,s5,9,CES,1
106,135,s5,10,NPS,2
107,135,s7,5,CES,1
108,135,s7,7,NPS,3
109,141,s3,10,CES,0
110,141,s3,10,NPS,3
111,147,s7,7,CES,0
112,147,s7,9,NPS,3
113,147,s8,10,CES,0
114,147,s8,10,NPS,0
115,151,s7,8,CES,2
116,151,s7,7,NPS,2
117,151,s7,10,CES,0
118,151,s7,10,NPS,0
119,151,s8,10,CES,0
120,151,s8,10,NPS,3
121,154,s2,4,CES,1
122,154,s2,10,NPS,3
123,155,s8,9,CES,3
124,155,s8,8,NPS,0
125,158,s3,10,CES,2
126,158,s3,10,NPS,0
127,160,s7,10,CES,0
128,160,s7,10,NPS,0
129,160,s8,5,CES,0
130,160,s8,10,NPS,2
131,164,s3,10,CES,3
132,164,s3,7,NPS,2
133,165,s5,9,CES,1
134,165,s5,10,NPS,2
135,165,s7,10,CES,0
136,165,s7,10,NPS,3
137,175,s8,3,CES,1
138,175,s8,6,NPS,2
139,177,s7,9,CES,0
140,177,s7,7,NPS,2
141,189,s2,3,CES,2
142,189,s2,2,NPS,0
143,194,s5,10,CES,2
144,194,s5,10,NPS,1
145,194,s8,5,CES,1
146,194,s8,8,NPS,3
147,195,s2,3,CES,1
148,195,s2,7,NPS,0
149,195,s7,7,CES,2
150,195,s7,6,NPS,1
151,204,s5,1,CES,3
152,204,s5,10,NPS,1
153,204,s7,3,CES,2
154,204,s7,8,NPS,1
155,204,s7,1,CES,2
156,204,s7,9,NPS,3
157,205,s2,2,CES,1
158,205,s2,7,NPS,1
159,205,s7,2,CES,2
160,205,s7,3,NPS,1
161,205,s7,1,CES,2
162,205,s7,3,NPS,2
163,205,s7,10,CES,1
164,205,s7,9,NPS,2
165,209,s7,8,CES,1
166,209,s7,10,NPS,3
167,212,s7,2,CES,2
168,212,s7,5,NPS,0
169,215,s2,2,CES,0
170,215,s2,6,NPS,1
171,218,s5,6,CES,2
172,218,s5,9,NPS,1
173,218,s8,1,CES,1
174,218,s8,7,NPS,3
175,220,s3,10,CES,0
176,220,s3,10,NPS,3
177,222,s3,10,CES,1
178,222,s3,10,NPS,1
179,222,s5,6,CES,0
180,222,s5,10,NPS,0
181,223,s2,9,CES,2
182,223,s2,2,NPS,2
183,224,s2,2,CES,2
184,224,s2,1,NPS,3
185,226,s7,10,CES,2
186,226,s7,8,NPS,0
187,226,s7,8,CES,0
188,226,s7,10,NPS,3
189,228,s5,10,CES,3
190,228,s5,10,NPS,0
191,229,s2,3,CES,0
192,229,s2,7,NPS,0
193,229,s3,10,CES,0
194,229,s3,10,NPS,0
195,238,s3,6,CES,0
196,238,s3,9,NPS,3
197,238,s7,9,CES,1
198,238,s7,10,NPS,0
199,257,s8,6,CES,3
200,257,s8,7,NPS,2
201,270,s3,10,CES,3
202,270,s3,10,NPS,3
203,270,s5,9,CES,0
204,270,s5,10,NPS,2
205,270,s7,6,CES,2
206,270,s7,8,NPS,2
207,270,s7,8,CES,1
208,270,s7,10,NPS,3
209,272,s2,6,CES,3
210,272,s2,2,NPS,2
211,275,s2,3,CES,2
212,275,s2,6,NPS,3
213,281,s7,1,CES,1
214,281,s7,4,NPS,1
215,283,s5,2,CES,1
216,283,s5,8,NPS,3
217,283,s7,10,CES,3
218,283,s7,10,NPS,0
219,286,s3,10,CES,1
220,286,s3,10,NPS,0
221,288,s2,5,CES,0
222,288,s2,1,NPS,0
223,289,s3,7,CES,1
224,289,s3,10,NPS,1
225,292,s5,3,CES,1
226,292,s5,10,NPS,0
227,293,s7,7,CES,2
228,293,s7,3,NPS,3
229,293,s7,9,CES,0
230,293,s7,8,NPS,2
231,293,s8,7,CES,1
232,293,s8,10,NPS,1
233,302,s2,10,CES,3
234,302,s2,10,NPS,3
235,306,s5,3,CES,3
236,306,s5,9,NPS,0
237,308,s3,6,CES,1
238,308,s3,10,NPS,3
239,308,s5,8,CES,3
240,308,s5,10,NPS,3
241,308,s3,10,CES,2
242,308,s3,10,NPS,1
243,309,s5,2,CES,2
244,309,s5,10,NPS,1
245,313,s3,10,CES,0
246,313,s3,8,NPS,3
247,315,s5,9,CES,3
248,315,s5,6,NPS,3
249,315,s8,3,CES,0
250,315,s8,6,NPS,1
251,322,s5,2,CES,1
252,322,s5,10,NPS,2
253,330,s7,10,CES,1
254,330,s7,10,NPS,1
255,334,s5,9,CES,1
256,334,s5,7,NPS,2
257,345,s2,2,CES,3
258,345,s2,5,NPS,1
259,350,s7,9,CES,1
260,350,s7,10,NPS,2
261,350,s8,8,CES,0
262,350,s8,10,NPS,1
263,352,s3,6,CES,2
264,352,s3,8,NPS,2
265,354,s2,8,CES,0
266,354,s2,1,NPS,3
267,357,s3,7,CES,2
268,357,s3,10,NPS,0
269,357,s7,2,CES,1
270,357,s7,5,NPS,2
271,357,s7,4,CES,1
272,357,s7,7,NPS,0
273,358,s3,6,CES,3
274,358,s3,6,NPS,2
275,361,s2,1,CES,2
276,361,s2,1,NPS,3
277,366,s3,10,CES,3
278,366,s3,10,NPS,2
279,367,s5,10,CES,3
280,367,s5,10,NPS,0
281,368,s3,4,CES,2
282,368,s3,9,NPS,0
283,369,s7,7,CES,2
284,369,s7,10,NPS,3
285,371,s3,7,CES,2
286,371,s3,10,NPS,2
287,371,s7,2,CES,3
288,371,s7,6,NPS,3
289,373,s7,10,CES,1
290,373,s7,10,NPS,0
291,373,s8,10,CES,2
292,373,s8,6,NPS,0
293,374,s5,6,CES,2
294,374,s5,10,NPS,1
295,374,s8,3,CES,1
296,374,s8,10,NPS,2
297,375,s5,6,CES,2
298,375,s5,3,NPS,2
299,376,s5,5,CES,1
300,376,s5,10,NPS,1
301,376,s7,10,CES,1
302,376,s7,5,NPS,0
303,381,s3,10,CES,3
304,381,s3,10,NPS,2
305,383,s3,10,CES,3
306,383,s3,9,NPS,0
307,385,s7,6,CES,0
308,385,s7,10,NPS,1
309,386,s7,3,CES,3
310,386,s7,10,NPS,0
311,386,s8,10,CES,2
312,386,s8,10,NPS,2
313,387,s3,10,CES,3
314,387,s3,10,NPS,2
315,391,s8,6,CES,1
316,391,s8,7,NPS,2
317,393,s2,1,CES,3
318,393,s2,6,NPS,1
319,396,s7,10,CES,3
320,396,s7,10,NPS,2
321,397,s3,5,CES,1
322,397,s3,10,NPS,2
323,398,s2,5,CES,1
324,398,s2,1,NPS,0
325,399,s3,5,CES,2
326,399,s3,10,NPS,2
327,399,s5,8,CES,1
328,399,s5,9,NPS,1
329,399,s8,7,CES,2
330,399,s8,9,NPS,1
331,401,s3,10,CES,3
332,401,s3,9,NPS,2
333,404,s3,7,CES,1
334,404,s3,8,NPS,1
335,408,s5,8,CES,3
336,408,s5,7,NPS,1
337,410,s7,4,CES,1
338,410,s7,10,NPS,0
339,410,s8,9,CES,1
340,410,s8,9,NPS,0
341,413,s3,5,CES,3
342,413,s3,10,NPS,0
343,413,s7,10,CES,3
344,413,s7,8,NPS,2
345,415,s3,10,CES,1
346,415,s3,10,NPS,0
347,418,s2,9,CES,2
348,418,s2,7,NPS,1
349,426,s2,9,CES,2
350,426,s2,7,NPS,1
351,427,s5,5,CES,0
352,427,s5,10,NPS,1
353,427,s7,1,CES,3
354,427,s7,10,NPS,3
355,427,s7,1,CES,1
356,427,s7,8,NPS,2
357,428,s7,6,CES,3
358,428,s7,10,NPS,3
359,428,s5,10,CES,3
360,428,s5,6,NPS,2
361,429,s7,5,CES,0
362,429,s7,7,NPS,3
363,429,s8,6,CES,3
364,429,s8,6,NPS,1
365,431,s3,6,CES,3
366,431,s3,10,NPS,0
367,435,s7,9,CES,0
368,435,s7,5,NPS,3
369,435,s7,10,CES,3
370,435,s7,9,NPS,3
371,435,s7,8,CES,3
372,435,s7,6,NPS,2
373,435,s7,10,CES,2
374,435,s7,10,NPS,3
375,438,s2,3,CES,1
376,438,s2,3,NPS,2
377,443,s2,5,CES,0
378,443,s2,7,NPS,2
379,447,s3,8,CES,2
380,447,s3,10,NPS,3
381,448,s2,3,CES,3
382,448,s2,5,NPS,0
383,449,s5,10,CES,0
384,449,s5,10,NPS,1
385,452,s8,4,CES,1
386,452,s8,10,NPS,0
387,455,s2,10,CES,2
388,455,s2,2,NPS,0
389,458,s3,4,CES,2
390,458,s3,10,NPS,1
391,459,s3,10,CES,2
392,459,s3,10,NPS,1
393,459,s7,4,CES,2
394,459,s7,10,NPS,2
395,459,s8,6,CES,2
396,459,s8,6,NPS,0
397,462,s8,10,CES,3
398,462,s8,8,NPS,2
399,468,s3,10,CES,3
400,468,s3,10,NPS,1
401,469,s3,10,CES,2
402,469,s3,10,NPS,2
403,473,s3,10,CES,3
404,473,s3,10,NPS,1
405,475,s2,8,CES,1
406,475,s2,7,NPS,3
407,477,s2,4,CES,2
408,477,s2,1,NPS,2
409,478,s7,4,CES,1
410,478,s7,3,NPS,2
411,484,s2,5,CES,0
412,484,s2,1,NPS,3
413,488,s2,8,CES,0
414,488,s2,1,NPS,3
415,488,s7,2,CES,3
416,488,s7,10,NPS,1
417,493,s8,5,CES,1
418,493,s8,8,NPS,2
419,496,s2,8,CES,1
420,496,s2,4,NPS,3
421,503,s5,9,CES,3
422,503,s5,7,NPS,1
423,506,s3,10,CES,1
424,506,s3,9,NPS,2
425,511,s5,1,CES,0
426,511,s5,7,NPS,2
427,514,s2,9,CES,2
428,514,s2,1,NPS,2
429,514,s5,8,CES,3
430,514,s5,9,NPS,1
431,525,s2,6,CES,3
432,525,s2,1,NPS,1
433,527,s2,10,CES,1
434,527,s2,8,NPS,0
435,531,s5,3,CES,0
436,531,s5,10,NPS,1
437,531,s8,5,CES,0
438,531,s8,6,NPS,2
439,533,s2,7,CES,3
440,533,s2,1,NPS,2
441,537,s2,1,CES,3
442,537,s2,1,NPS,1
443,539,s8,7,CES,3
444,539,s8,10,NPS,1
445,543,s3,10,CES,2
446,543,s3,10,NPS,1
447,543,s5,3,CES,0
448,543,s5,6,NPS,3
449,543,s8,9,CES,1
450,543,s8,10,NPS,1
451,546,s2,4,CES,3
452,546,s2,8,NPS,0
453,550,s3,4,CES,3
454,550,s3,8,NPS,1
455,555,s2,5,CES,3
456,555,s2,10,NPS,3
457,558,s3,10,CES,3
458,558,s3,10,NPS,2
459,563,s7,5,CES,3
460,563,s7,10,NPS,0
461,564,s3,8,CES,0
462,564,s3,10,NPS,1
463,566,s5,9,CES,2
464,566,s5,10,NPS,1
465,567,s2,4,CES,3
466,567,s2,2,NPS,1
467,569,s3,6,CES,2
468,569,s3,10,NPS,2
469,569,s7,1,CES,0
470,569,s7,1,NPS,1
471,569,s7,6,CES,0
472,569,s7,10,NPS,0
473,572,s5,10,CES,2
474,572,s5,10,NPS,0
475,580,s2,1,CES,3
476,580,s2,5,NPS,2
477,581,s3,6,CES,1
478,581,s3,7,NPS,0
479,581,s5,3,CES,1
480,581,s5,9,NPS,0
481,581,s7,6,CES,0
482,581,s7,10,NPS,1
483,585,s7,10,CES,2
484,585,s7,10,NPS,2
485,591,s7,1,CES,2
486,591,s7,7,NPS,0
487,593,s7,8,CES,0
488,593,s7,6,NPS,0
489,593,s7,6,CES,2
490,593,s7,10,NPS,2
491,595,s8,3,CES,0
492,595,s8,6,NPS,3
493,599,s7,4,CES,3
494,599,s7,9,NPS,3
495,599,s5,10,CES,3
496,599,s5,10,NPS,3
497,604,s5,4,CES,3
498,604,s5,10,NPS,0
499,604,s7,5,CES,3
500,604,s7,10,NPS,3
501,614,s2,4,CES,2
502,614,s2,4,NPS,3
503,618,s3,5,CES,2
504,618,s3,10,NPS,2
505,621,s5,10,CES,3
506,621,s5,10,NPS,3
507,625,s7,4,CES,1
508,625,s7,7,NPS,1
509,628,s5,10,CES,3
510,628,s5,10,NPS,1
511,628,s7,8,CES,3
512,628,s7,10,NPS,3
513,631,s2,10,CES,1
514,631,s2,4,NPS,0
515,633,s2,8,CES,0
516,633,s2,4,NPS,3
517,638,s3,10,CES,0
518,638,s3,10,NPS,2
519,638,s5,3,CES,1
520,638,s5,8,NPS,1
521,638,s7,1,CES,0
522,638,s7,9,NPS,1
523,640,s3,10,CES,2
524,640,s3,10,NPS,0
525,641,s5,4,CES,0
526,641,s5,5,NPS,0
527,641,s8,6,CES,0
528,641,s8,10,NPS,1
529,642,s3,7,CES,3
530,642,s3,10,NPS,3
531,661,s2,7,CES,0
532,661,s2,1,NPS,2
533,662,s3,7,CES,1
534,662,s3,10,NPS,2
535,666,s2,10,CES,0
536,666,s2,8,NPS,3
537,667,s5,9,CES,3
538,667,s5,10,NPS,3
539,670,s2,4,CES,1
540,670,s2,2,NPS,0
541,671,s2,6,CES,3
542,671,s2,7,NPS,3
543,680,s7,7,CES,3
544,680,s7,10,NPS,3
545,681,s7,4,CES,2
546,681,s7,6,NPS,2
547,688,s7,8,CES,1
548,688,s7,4,NPS,0
549,690,s7,9,CES,1
550,690,s7,6,NPS,3
551,690,s7,9,CES,0
552,690,s7,10,NPS,3
553,695,s5,7,CES,0
554,695,s5,10,NPS,2
555,695,s7,3,CES,0
556,695,s7,4,NPS,3
557,695,s5,2,CES,0
558,695,s5,5,NPS,2
559,695,s7,3,CES,0
560,695,s7,3,NPS,2
561,695,s7,4,CES,1
562,695,s7,9,NPS,0
563,696,s8,6,CES,2
564,696,s8,10,NPS,3
565,696,s5,9,CES,2
566,696,s5,10,NPS,3
567,699,s2,7,CES,3
568,699,s2,9,NPS,1
569,701,s8,5,CES,2
570,701,s8,10,NPS,1
571,704,s5,9,CES,3
572,704,s5,10,NPS,3
573,704,s8,6,CES,1
574,704,s8,10,NPS,0
575,711,s3,10,CES,3
576,711,s3,10,NPS,2
577,711,s5,7,CES,0
578,711,s5,10,NPS,1
579,711,s7,1,CES,3
580,711,s7,10,NPS,0
581,711,s3,9,CES,2
582,711,s3,10,NPS,1
583,713,s5,3,CES,3
584,713,s5,10,NPS,1
585,715,s2,3,CES,0
586,715,s2,6,NPS,2
587,719,s2,7,CES,1
588,719,s2,5,NPS,0
589,720,s2,7,CES,3
590,720,s2,2,NPS,3
591,722,s7,2,CES,0
592,722,s7,5,NPS,2
593,727,s2,7,CES,3
594,727,s2,3,NPS,3
595,728,s2,4,CES,0
596,728,s2,1,NPS,3
597,729,s7,8,CES,0
598,729,s7,5,NPS,2
599,731,s2,1,CES,0
600,731,s2,7,NPS,0
601,732,s2,1,CES,0
602,732,s2,1,NPS,0
603,732,s5,4,CES,2
604,732,s5,10,NPS,3
605,736,s5,9,CES,1
606,736,s5,4,NPS,3
607,739,s2,3,CES,0
608,739,s2,1,NPS,3
609,740,s5,2,CES,0
610,740,s5,9,NPS,3
611,740,s7,9,CES,2
612,740,s7,5,NPS,3
613,740,s7,10,CES,1
614,740,s7,8,NPS,2
615,740,s7,6,CES,3
616,740,s7,4,NPS,0
617,741,s2,1,CES,2
618,741,s2,5,NPS,3
619,742,s5,9,CES,1
620,742,s5,10,NPS,3
621,744,s5,5,CES,0
622,744,s5,8,NPS,2
623,745,s2,6,CES,2
624,745,s2,8,NPS,3
625,748,s8,10,CES,1
626,748,s8,7,NPS,1
627,748,s3,8,CES,2
628,748,s3,10,NPS,3
629,748,s8,7,CES,2
630,748,s8,10,NPS,3
631,750,s3,10,CES,1
632,750,s3,10,NPS,0
633,755,s2,8,CES,1
634,755,s2,2,NPS,2
635,755,s5,10,CES,1
636,755,s5,9,NPS,1
637,755,s8,4,CES,0
638,755,s8,10,NPS,2
639,763,s7,10,CES,2
640,763,s7,10,NPS,3
641,772,s3,10,CES,1
642,772,s3,10,NPS,1
643,779,s8,8,CES,2
644,779,s8,10,NPS,3
645,787,s3,6,CES,1
646,787,s3,7,NPS,2
647,787,s8,5,CES,2
648,787,s8,10,NPS,3
649,788,s2,7,CES,2
650,788,s2,4,NPS,0
651,795,s7,1,CES,2
652,795,s7,4,NPS,3
653,795,s7,10,CES,2
654,795,s7,10,NPS,2
655,797,s2,8,CES,3
656,797,s2,1,NPS,1
657,799,s2,5,CES,3
658,799,s2,9,NPS,2
659,799,s5,2,CES,2
660,799,s5,10,NPS,0
661,799,s7,3,CES,2
662,799,s7,5,NPS,2
663,799,s8,9,CES,3
664,799,s8,10,NPS,1
665,804,s7,10,CES,0
666,804,s7,10,NPS,2
667,804,s8,5,CES,2
668,804,s8,10,NPS,1
669,808,s7,2,CES,2
670,808,s7,6,NPS,2
671,808,s8,9,CES,0
672,808,s8,10,NPS,2
673,814,s5,1,CES,0
674,814,s5,8,NPS,1
675,817,s2,7,CES,2
676,817,s2,5,NPS,3
677,830,s5,9,CES,3
678,830,s5,10,NPS,0
679,830,s7,8,CES,2
680,830,s7,10,NPS,1
681,830,s8,2,CES,2
682,830,s8,10,NPS,1
683,832,s2,5,CES,0
684,832,s2,1,NPS,2
685,833,s2,6,CES,0
686,833,s2,8,NPS,0
687,846,s5,7,CES,1
688,846,s5,4,NPS,1
689,846,s7,1,CES,2
690,846,s7,3,NPS,1
691,846,s7,8,CES,3
692,846,s7,8,NPS,0
693,848,s2,7,CES,3
694,848,s2,3,NPS,0
695,848,s5,10,CES,1
696,848,s5,10,NPS,2
697,849,s2,1,CES,0
698,849,s2,5,NPS,0
699,852,s8,4,CES,0
700,852,s8,7,NPS,2
701,856,s5,1,CES,0
702,856,s5,10,NPS,0
703,856,s8,5,CES,0
704,856,s8,8,NPS,0
705,859,s3,5,CES,3
706,859,s3,10,NPS,3
707,859,s5,4,CES,1
708,859,s5,9,NPS,3
709,862,s5,10,CES,0
710,862,s5,9,NPS,1
711,862,s7,6,CES,2
712,862,s7,5,NPS,3
713,862,s7,10,CES,2
714,862,s7,10,NPS,1
715,864,s2,10,CES,0
716,864,s2,10,NPS,1
717,864,s8,5,CES,0
718,864,s8,6,NPS,0
719,867,s3,10,CES,3
720,867,s3,10,NPS,2
721,867,s5,7,CES,0
722,867,s5,4,NPS,3
723,867,s7,3,CES,1
724,867,s7,10,NPS,2
725,868,s5,1,CES,3
726,868,s5,10,NPS,0
727,871,s2,10,CES,3
728,871,s2,7,NPS,2
729,876,s5,5,CES,1
730,876,s5,9,NPS,1
731,876,s5,8,CES,1
732,876,s5,10,NPS,1
733,880,s2,10,CES,0
734,880,s2,10,NPS,0
735,883,s3,10,CES,3
736,883,s3,10,NPS,2
737,883,s7,4,CES,2
738,883,s7,7,NPS,1
739,884,s8,8,CES,0
740,884,s8,10,NPS,0
741,887,s2,6,CES,2
742,887,s2,4,NPS,2
743,894,s2,8,CES,0
744,894,s2,5,NPS,2
745,895,s7,3,CES,0
746,895,s7,6,NPS,1
747,896,s2,9,CES,1
748,896,s2,7,NPS,3
749,897,s5,10,CES,3
750,897,s5,6,NPS,0
751,898,s7,1,CES,3
752,898,s7,1,NPS,1
753,900,s5,6,CES,2
754,900,s5,10,NPS,2
755,900,s8,10,CES,1
756,900,s8,3,NPS,1
757,907,s3,6,CES,1
758,907,s3,10,NPS,3
759,907,s7,7,CES,0
760,907,s7,10,NPS,0
761,915,s5,8,CES,1
762,915,s5,8,NPS,3
763,917,s2,10,CES,3
764,917,s2,3,NPS,3
765,920,s3,10,CES,3
766,920,s3,10,NPS,2
767,920,s5,10,CES,3
768,920,s5,10,NPS,0
769,921,s3,5,CES,2
770,921,s3,10,NPS,2
771,923,s3,10,CES,0
772,923,s3,10,NPS,1
773,924,s2,10,CES,0
774,924,s2,5,NPS,1
775,931,s2,5,CES,2
776,931,s2,4,NPS,0
777,931,s7,1,CES,0
778,931,s7,5,NPS,3
779,931,s8,5,CES,0
780,931,s8,10,NPS,1
781,937,s3,10,CES,0
782,937,s3,10,NPS,3
783,937,s8,5,CES,0
784,937,s8,10,NPS,2
785,939,s2,6,CES,0
786,939,s2,5,NPS,2
787,946,s3,10,CES,1
788,946,s3,10,NPS,3
789,946,s7,3,CES,3
790,946,s7,10,NPS,0
791,950,s7,7,CES,3
792,950,s7,10,NPS,2
793,958,s3,4,CES,2
794,958,s3,9,NPS,3
795,959,s2,3,CES,3
796,959,s2,7,NPS,1
797,960,s3,8,CES,1
798,960,s3,10,NPS,2
799,961,s5,5,CES,3
800,961,s5,10,NPS,1
801,963,s3,10,CES,3
802,963,s3,10,NPS,0
803,969,s3,7,CES,3
804,969,s3,10,NPS,2
805,969,s7,5,CES,0
806,969,s7,8,NPS,2
807,972,s7,10,CES,0
808,972,s7,10,NPS,0
809,975,s8,9,CES,1
810,975,s8,9,NPS,3
811,975,s3,10,CES,0
812,975,s3,10,NPS,2
813,978,s3,10,CES,3
814,978,s3,10,NPS,3
815,983,s3,9,CES,1
816,983,s3,9,NPS,2
817,984,s3,10,CES,1
818,984,s3,10,NPS,2
819,984,s8,4,CES,1
820,984,s8,10,NPS,0
821,987,s3,7,CES,0
822,987,s3,10,NPS,3
823,987,s8,10,CES,3
824,987,s8,5,NPS,2
825,993,s2,7,CES,0
826,993,s2,9,NPS,3
827,993,s8,9,CES,1
828,993,s8,8,NPS,0
829,994,s7,3,CES,1
830,994,s7,9,NPS,3
831,994,s8,7,CES,2
832,994,s8,10,NPS,1
833,999,s2,7,CES,3
834,999,s2,7,NPS,1
835,1003,s7,6,CES,1
836,1003,s7,7,NPS,2
837,1004,s3,10,CES,1
838,1004,s3,9,NPS,0
839,1004,s7,9,CES,1
840,1004,s7,10,NPS,1
841,1014,s2,7,CES,2
842,1014,s2,1,NPS,3
843,1020,s3,10,CES,3
844,1020,s3,10,NPS,2
845,1020,s5,1,CES,3
846,1020,s5,7,NPS,0
847,1022,s2,7,CES,0
848,1022,s2,8,NPS,1
849,1023,s3,10,CES,2
850,1023,s3,10,NPS,0
851,1025,s5,4,CES,3
852,1025,s5,7,NPS,3
853,1026,s5,4,CES,0
854,1026,s5,10,NPS,3
855,1029,s7,8,CES,3
856,1029,s7,5,NPS,1
857,1029,s5,1,CES,1
858,1029,s5,10,NPS,0
859,1030,s5,2,CES,3
860,1030,s5,4,NPS,2
861,1032,s2,10,CES,0
862,1032,s2,5,NPS,0
863,1034,s3,8,CES,3
864,1034,s3,10,NPS,3
865,1034,s5,3,CES,2
866,1034,s5,6,NPS,2
867,1037,s3,9,CES,1
868,1037,s3,10,NPS,0
869,1043,s3,10,CES,1
870,1043,s3,10,NPS,2
871,1043,s7,9,CES,0
872,1043,s7,6,NPS,2
873,1052,s3,8,CES,0
874,1052,s3,10,NPS,0
875,1056,s2,5,CES,2
876,1056,s2,6,NPS,2
877,1059,s5,4,CES,0
878,1059,s5,10,NPS,1
879,1061,s8,8,CES,1
880,1061,s8,10,NPS,2
881,1075,s2,2,CES,3
882,1075,s2,7,NPS,1
883,1077,s2,8,CES,3
884,1077,s2,6,NPS,3
885,1078,s8,5,CES,0
886,1078,s8,10,NPS,0
887,1079,s7,5,CES,3
888,1079,s7,10,NPS,2
889,1079,s8,2,CES,3
890,1079,s8,10,NPS,3
891,1095,s5,3,CES,2
892,1095,s5,10,NPS,2
893,1095,s7,3,CES,0
894,1095,s7,10,NPS,2
895,1095,s8,5,CES,2
896,1095,s8,5,NPS,3
897,1100,s2,1,CES,0
898,1100,s2,5,NPS,0
899,1105,s3,6,CES,2
900,1105,s3,10,NPS,1
901,1108,s3,6,CES,0
902,1108,s3,10,NPS,1
903,1112,s8,3,CES,1
904,1112,s8,5,NPS,3
905,1120,s5,3,CES,3
906,1120,s5,9,NPS,2
907,1132,s8,10,CES,0
908,1132,s8,5,NPS,0
909,1132,s2,7,CES,2
910,1132,s2,10,NPS,3
911,1134,s3,6,CES,3
912,1134,s3,10,NPS,2
913,1134,s5,6,CES,2
914,1134,s5,7,NPS,2
915,1134,s5,4,CES,1
916,1134,s5,6,NPS,3
917,1136,s2,5,CES,1
918,1136,s2,1,NPS,0
919,1139,s2,3,CES,0
920,1139,s2,2,NPS,2
921,1143,s3,10,CES,1
922,1143,s3,7,NPS,0
923,1144,s5,8,CES,2
924,1144,s5,5,NPS,0
925,1146,s3,9,CES,3
926,1146,s3,7,NPS,3
927,1147,s3,8,CES,1
928,1147,s3,10,NPS,0
929,1151,s7,2,CES,1
930,1151,s7,9,NPS,1
931,1154,s2,1,CES,3
932,1154,s2,2,NPS,2
933,1160,s3,5,CES,2
934,1160,s3,10,NPS,3
935,1161,s2,1,CES,3
936,1161,s2,3,NPS,2
937,1161,s5,5,CES,2
938,1161,s5,4,NPS,0
939,1163,s2,10,CES,1
940,1163,s2,6,NPS,1
941,1163,s8,4,CES,2
942,1163,s8,10,NPS,0
943,1164,s5,1,CES,2
944,1164,s5,10,NPS,3
945,1164,s8,4,CES,1
946,1164,s8,7,NPS,0
947,1169,s2,6,CES,1
948,1169,s2,4,NPS,0
949,1172,s3,10,CES,0
950,1172,s3,10,NPS,0
951,1175,s2,4,CES,2
952,1175,s2,1,NPS,3
953,1175,s5,7,CES,3
